iter	Passed	Remaining
455	899	1072
456	900	1070
457	903	1068
458	905	1067
459	907	1065
460	909	1063
461	912	1063
462	914	1060
463	916	1058
464	918	1056
465	919	1053
466	920	1050
467	922	1048
468	924	1046
469	927	1045
470	928	1043
471	929	1039
472	930	1036
473	931	1033
474	932	1030
475	932	1026
476	934	1024
477	936	1022
478	940	1023
479	942	1021
480	945	1019
481	949	1020
482	950	1017
483	954	1017
484	963	1023
485	964	1020
486	967	1019
487	968	1016
488	969	1013
489	973	1013
490	975	1010
491	976	1008
492	977	1005
493	978	1002
494	980	1000
495	981	997
496	988	1000
497	989	997
498	991	995
499	993	993
500	1003	999
501	1005	997
502	1006	994
503	1007	991
504	1009	989
505	1010	986
506	1011	983
507	1012	980
508	1013	977
509	1015	976
510	1017	973
511	1018	971
512	1020	968
513	1021	965
514	1022	962
515	1023	960
516	1024	957
517	1025	954
518	1026	951
519	1027	948
520	1030	947
521	1031	944
522	1032	942
523	1034	939
524	1035	937
525	1036	934
526	1037	931
527	1038	928
528	1039	925
529	1041	923
530	1044	922
531	1045	920
532	1046	917
533	1047	914
534	1048	911
535	1049	908
536	1050	905
537	1051	902
538	1052	900
539	1053	897
540	1053	894
541	1054	891
542	1055	888
543	1056	885
544	1060	885
545	1061	882
546	1063	880
547	1065	878
548	1066	876
549	1067	873
550	1068	870
551	1069	868
552	1070	865
553	1071	862
554	1074	861
555	1075	858
556	1077	856
557	1080	855
558	1082	853
559	1085	852
560	1088	851
561	1089	849
562	1090	846
563	1091	843
564	1091	840
565	1092	837
566	1094	835
567	1097	834
568	1098	832
569	1100	829
570	1101	827
571	1105	827
572	1106	824
573	1108	822
574	1109	820
575	1111	818
576	1112	815
577	1114	813
578	1115	810
579	1116	808
580	1118	806
581	1119	804
582	1120	801
583	1121	798
584	1123	796
585	1124	794
586	1125	791
587	1126	789
588	1127	786
589	1128	784
590	1130	782
591	1133	781
592	1134	778
593	1135	776
594	1136	773
595	1138	771
596	1139	768
597	1140	766
598	1141	763
599	1142	761
600	1143	758
601	1144	756
602	1145	754
603	1147	752
604	1148	749
605	1150	747
606	1151	745
607	1153	743
608	1155	741
609	1156	739
610	1158	737
611	1160	735
612	1162	734
613	1164	731
614	1166	730
615	1167	727
616	1168	725
617	1170	723
618	1171	721
619	1172	718
620	1173	716
621	1177	715
622	1178	713
623	1179	710
624	1180	708
625	1182	706
626	1183	703
627	1184	701
628	1186	699
629	1187	697
630	1193	697
631	1194	695
632	1196	693
633	1198	691
634	1199	689
635	1200	687
636	1201	684
637	1203	682
638	1206	681
639	1207	679
640	1211	678
641	1216	678
642	1218	676
643	1221	675
644	1223	673
645	1224	671
646	1225	668
647	1226	666
648	1227	664
649	1228	661
650	1230	659
651	1232	657
652	1233	655
653	1234	653
654	1235	650
655	1236	648
656	1237	646
657	1238	643
658	1239	641
659	1240	639
660	1241	636
661	1242	634
662	1244	632
663	1245	630
664	1249	629
665	1250	627
666	1252	625
667	1256	624
668	1257	622
669	1258	620
670	1260	617
671	1263	616
672	1264	614
673	1265	612
674	1266	609
675	1267	607
676	1268	605
677	1269	602
678	1270	600
679	1271	598
680	1272	595
681	1273	593
682	1274	591
683	1274	589
684	1275	586
685	1277	584
686	1278	582
687	1279	580
688	1280	578
689	1281	575
690	1282	573
691	1283	571
692	1284	569
693	1285	566
694	1286	564
695	1287	562
696	1288	560
697	1289	558
698	1292	556
699	1293	554
700	1294	552
701	1295	550
702	1297	547
703	1298	546
704	1299	543
705	1300	541
706	1301	539
707	1302	537
708	1303	534
709	1304	532
710	1304	530
711	1306	528
712	1307	526
713	1308	524
714	1309	521
715	1310	519
716	1311	517
717	1312	515
718	1314	513
719	1315	511
720	1317	509
721	1318	507
722	1322	506
723	1324	504
724	1325	502
725	1326	500
726	1327	498
727	1328	496
728	1328	493
729	1329	491
730	1330	489
731	1331	487
732	1332	485
733	1332	483
734	1333	480
735	1334	478
736	1337	477
737	1339	475
738	1341	473
739	1343	472
740	1345	470
